date,id,language
2024-09-13,47,english
2024-09-13,544,english
2024-09-13,10007,english
2024-09-13,35667,english
2024-09-13,71250,spanish
2024-09-13,74401,english
2024-09-13,74405,esperanto
2024-09-13,74406,english
2024-09-13,74407,finnish
2024-09-13,74408,dutch
2024-09-13,74409,english
2024-09-13,74410,catalan
2024-09-14,74400,english
2024-09-14,74411,french
2024-09-14,74412,french
2024-09-14,74413,english
2024-09-14,74414,italian
2024-09-14,74415,finnish
2024-09-15,2760,english
2024-09-15,44061,english
2024-09-15,74416,english
2024-09-15,74417,english
2024-09-15,74418,NA
2024-09-15,74419,english
2024-09-16,46719,dutch
2024-09-16,74420,french
2024-09-16,74421,english
2024-09-16,74422,english
2024-09-16,74423,english
2024-09-16,74424,english
2024-09-16,74425,english
2024-09-17,10165,english
2024-09-17,26082,french
2024-09-17,74346,english
2024-09-17,74426,french
2024-09-17,74427,english
2024-09-17,74428,english
2024-09-17,74429,french
2024-09-17,74430,frisian
2024-09-17,74431,english
2024-09-17,74432,finnish
2024-09-17,74433,finnish
2024-09-17,74434,french
2024-09-18,174,english
2024-09-18,205,english
2024-09-18,13913,english
2024-09-18,74435,english
2024-09-18,74436,english
2024-09-18,74437,english
2024-09-18,74438,english
2024-09-18,74439,finnish
2024-09-18,74440,english
2024-09-19,74441,english
